Data,Fix,Top,Premium M.,Premium F.,Multiprev M.,Multiprev F.,Previdence,XP Prev,Access,Synta,Capit D. Inc,Capit D. Inc F.,Aquila6,Strategy,CW1,Inflation,Index,Alfa,Harpia,Emb,Portfolio,Multi,Volks Fusca,Fcopel,São Paulo,Reit,Reit 90,Top-Cotas,Premium M.-Cotas,Premium F.-Cotas,Multiprev M.-Cotas,Multiprev F.-Cotas,Previdence-Cotas,XP Prev-Cotas,Access-Cotas,Synta-Cotas,Capit D. Inc-Cotas,Capit D. Inc F.-Cotas,Aquila6-Cotas,Strategy-Cotas,CW1-Cotas,Inflation-Cotas,Index-Cotas,Alfa-Cotas,Harpia-Cotas,Emb-Cotas,Portfolio-Cotas,Multi-Cotas,Volks Fusca-Cotas,Fcopel-Cotas,São Paulo-Cotas,Reit-Cotas,Reit 90-Cotas
9/15/2017,96%,91%,101%,94%,#N/A,84%,82%,#N/A,41%,#N/A,#N/A,#N/A,177%,15%,139%,127%,113%,-55%,-2%,129%,174%,202%,#N/A,156%,#N/A,1354%,#N/A,392269845.05,392698603.60,160396748.35,160622310.61,37733687.51,9180896.73,#N/A,27428115.73,#N/A,#N/A,#N/A,91297582.01,129032563.63,81564156.90,61765468.30,61745430.30,69133338.48,81949530.50,230240157.87,165160709.45,155875892.66,#N/A,254053921.01,#N/A,109589009.57,#N/A
9/18/2017,100%,95%,110%,102%,#N/A,101%,103%,#N/A,98%,#N/A,#N/A,#N/A,188%,54%,165%,168%,150%,243%,188%,133%,188%,165%,#N/A,6%,#N/A,1145%,#N/A,392391950.44,392644533.90,160651306.78,160874500.37,38282701.29,9183829.35,#N/A,27363626.79,#N/A,#N/A,#N/A,91350947.40,129054383.78,81605873.89,61797647.97,61774267.59,69185615.61,81997453.79,230335527.61,165256968.38,155955982.40,#N/A,254058820.92,#N/A,109978588.53,#N/A
9/19/2017,98%,94%,109%,101%,#N/A,192%,113%,#N/A,155%,#N/A,#N/A,#N/A,209%,110%,183%,243%,220%,240%,222%,134%,183%,179%,#N/A,289%,#N/A,242%,#N/A,391991956.92,392341822.14,161605623.38,161946917.39,39022641.15,9220767.43,#N/A,27376818.83,#N/A,#N/A,#N/A,91410351.83,129098309.94,81652219.94,61844202.30,61816446.75,69237165.62,82054098.60,227231052.38,165350942.48,156042846.03,#N/A,254286622.24,#N/A,110061354.88,#N/A
9/20/2017,141%,136%,184%,164%,#N/A,202%,180%,#N/A,46%,#N/A,#N/A,#N/A,177%,147%,217%,268%,244%,169%,166%,137%,147%,175%,#N/A,195%,#N/A,324%,#N/A,391563997.70,392200168.18,161597765.17,161760057.40,39434603.51,9226521.15,#N/A,27380747.13,#N/A,#N/A,#N/A,91460616.86,129157141.23,81707165.06,61895725.16,61863235.33,69273410.07,82096416.82,227327865.03,165426373.64,156127584.44,#N/A,254440689.50,#N/A,110171952.11,#N/A
9/21/2017,155%,150%,219%,194%,#N/A,198%,215%,#N/A,246%,#N/A,#N/A,#N/A,167%,203%,208%,269%,244%,229%,223%,135%,112%,139%,#N/A,276%,#N/A,-1369%,#N/A,391152357.44,391461777.57,161707567.71,161898395.70,39485656.32,9422350.73,#N/A,27901644.86,#N/A,#N/A,#N/A,91507928.41,129238460.07,81759835.26,61947371.42,61910137.43,69322803.40,82153239.43,227422940.01,165483836.09,156194864.45,#N/A,254658503.07,#N/A,109703602.56,#N/A
9/22/2017,115%,111%,139%,126%,#N/A,28%,126%,#N/A,99%,#N/A,#N/A,#N/A,138%,146%,233%,219%,174%,89%,91%,143%,249%,104%,#N/A,64%,#N/A,1642%,#N/A,390492654.88,390980346.41,161777200.38,161961891.16,39635057.13,9426029.91,#N/A,27910216.83,#N/A,#N/A,#N/A,91547125.27,129297206.78,81818937.21,61989455.92,61943511.94,69341906.67,82176563.25,227523675.22,165611798.41,156245260.57,#N/A,254709184.36,#N/A,110263018.35,#N/A
9/25/2017,112%,107%,128%,117%,#N/A,106%,122%,#N/A,138%,#N/A,#N/A,#N/A,159%,126%,195%,175%,156%,93%,84%,116%,-2898%,240%,#N/A,709%,#N/A,535%,#N/A,390227929.92,390613641.79,161221299.18,161407814.38,40722827.07,9431062.42,#N/A,30230199.64,#N/A,#N/A,#N/A,91592250.38,129347725.19,81868508.70,62023208.26,61973472.33,69361962.34,82197982.09,227605370.92,146620926.19,156361898.37,#N/A,255269820.94,#N/A,110446137.83,#N/A
9/26/2017,125%,120%,162%,146%,#N/A,129%,162%,#N/A,276%,#N/A,#N/A,#N/A,274%,331%,319%,349%,317%,286%,275%,116%,231%,-2892%,#N/A,441%,#N/A,141%,#N/A,389929474.20,390343471.32,161802608.42,161986221.46,41441360.28,9435798.69,#N/A,30476080.65,#N/A,#N/A,#N/A,91670226.44,129480727.53,81949748.37,61090423.48,61034485.41,69423672.71,82268216.34,227687102.73,146725896.53,154957534.05,#N/A,255619313.28,#N/A,110494368.41,#N/A
9/27/2017,110%,101%,114%,105%,#N/A,104%,109%,#N/A,142%,#N/A,#N/A,#N/A,148%,42%,156%,119%,103%,87%,82%,116%,140%,196%,#N/A,99%,#N/A,710%,#N/A,392057614.09,392458341.29,162259665.37,162374528.95,41684063.13,9538585.97,#N/A,30469371.48,#N/A,#N/A,#N/A,91712246.16,129497629.56,81989563.80,61113028.14,61054078.93,69442408.43,82294158.70,227768866.77,146789564.90,138611114.81,#N/A,255698080.57,#N/A,110737866.97,#N/A
9/28/2017,98%,97%,106%,98%,#N/A,110%,112%,#N/A,118%,#N/A,#N/A,#N/A,112%,11%,118%,44%,34%,178%,164%,116%,76%,142%,#N/A,108%,#N/A,262%,#N/A,392177245.63,392509824.25,162512880.83,162656080.34,42649290.25,10235328.44,#N/A,30758045.14,#N/A,#N/A,#N/A,91744244.45,129502041.73,82019702.73,61121468.43,61060579.48,69480809.14,82336186.98,227850662.87,147823988.80,138672421.01,#N/A,255783785.49,#N/A,115887898.19,#N/A
